ID,Country,Education,First Contact,Last Contact,Status,Stage,First Call,Signed up for a demo,Filled in customer survey,Did sign up to the platform,Account Manager assigned,Subscribed,subscribed,Message1,Message2,Message3,Origin,Terminated
1,unknown,,,,,,,,,2022-04-27,,,False,,,,2000-01-01,2100-01-01
2,austria,,,,,,2022-04-28,2022-04-25,2022-04-25,2022-04-25,,,False,,,,2000-01-01,2100-01-01
3,united arab emirates,,,,,,,2022-04-24,,,,,False,,,,2000-01-01,2100-01-01
4,france,,,,,,2022-04-22,2022-04-20,2022-04-20,2022-04-22,2022-04-22,,False,,,,2000-01-01,2100-01-01
5,usa,,,,,,2022-04-23,2022-04-19,2022-04-19,,,,False,,,,2000-01-01,2100-01-01
6,usa,,,,,,,2022-04-18,,,,,False,,,,2000-01-01,2100-01-01
7,unknown,,,,,,,2022-04-18,,,,,False,,,,2000-01-01,2100-01-01
8,canada,,,,,,,2022-04-15,2022-04-16,2022-04-16,,,False,,,,2000-01-01,2100-01-01
9,canada,,,,,,,2022-04-12,,,,,False,,,,2000-01-01,2100-01-01
10,canada,,,,,,2022-04-26,2022-04-12,2022-04-12,2022-04-15,,,False,,,,2000-01-01,2100-01-01
11,canada,,,,,,,2022-04-12,2022-04-12,,,,False,,,,2000-01-01,2100-01-01
12,canada,,,,,,,2022-04-12,2022-04-12,,,,False,,,,2000-01-01,2100-01-01
13,canada,,,,,,2022-04-14,2022-04-11,2022-04-12,2022-04-12,2022-04-14,2022-04-16,True,,,,2000-01-01,2100-01-01
14,switzerland,,,,,,2022-04-11,2022-04-08,2022-04-08,2022-04-08,2022-04-13,2022-04-16,True,,,,2000-01-01,2100-01-01
15,iran,,,,,,,2022-04-08,2022-04-08,,,,False,,,,2000-01-01,2100-01-01
16,germany,,,,,,2022-04-13,2022-04-08,2022-04-08,2022-04-08,,,False,,,,2000-01-01,2100-01-01
17,unknown,,,,,,,2022-04-08,2022-04-08,,,,False,,,,2000-01-01,2100-01-01
18,canada,,,,,,,2022-04-08,,,,,False,,,,2000-01-01,2100-01-01
19,italy,,,,,,,2022-04-08,2022-04-08,2022-04-08,,,False,,,,2000-01-01,2100-01-01
20,germany,,,,,,,2022-04-08,2022-04-09,,,,False,,,,2000-01-01,2100-01-01
21,unknown,,,,,,2022-04-11,2022-04-07,2022-04-07,,,,False,,,,2000-01-01,2100-01-01
22,united arab emirates,,,,,,2022-04-21,2022-04-07,2022-04-08,2022-04-08,2022-04-22,2022-04-27,True,,,,2000-01-01,2100-01-01
23,germany,,,,,,,2022-04-06,,,,,False,,,,2000-01-01,2100-01-01
24,germany,,,,,,2022-04-07,2022-04-04,2022-04-04,2022-04-11,,2022-04-18,True,,,,2000-01-01,2100-01-01
25,united arab emirates,,,,,,2022-04-08,2022-04-04,2022-04-04,2022-04-05,,,False,,,,2000-01-01,2100-01-01
26,united arab emirates,,,,,,,2022-04-02,,,,,False,,,,2000-01-01,2100-01-01
27,united arab emirates,,,,,,2022-04-12,2022-04-02,2022-04-02,2022-04-02,,,False,,,,2000-01-01,2100-01-01
28,unknown,,,,,,,,,2022-03-31,,,False,,,,2000-01-01,2100-01-01
29,usa,,,,,,2022-04-06,2022-03-30,2022-04-03,,,,False,,,,2000-01-01,2100-01-01
30,unknown,,,,,,2022-04-04,,,,,,False,,,,2000-01-01,2100-01-01
31,lebanon,,,,,,,2022-03-30,,,,,False,,,,2000-01-01,2100-01-01
32,usa,,,,,,,2022-03-28,,,,,False,,,,2000-01-01,2100-01-01
33,usa,,,,,,,2022-03-28,2022-03-29,,,,False,,,,2000-01-01,2100-01-01
34,usa,,,,,subscribed already,2022-03-30,2022-03-28,2022-03-28,2022-03-28,2022-03-31,2022-04-07,True,,,,2000-01-01,2100-01-01
35,uk,,,,,,,2022-03-29,2022-03-31,,,,False,,,,2000-01-01,2100-01-01
36,sweden,,,,,,,2022-03-29,2022-03-29,,,,False,,,,2000-01-01,2100-01-01
37,france,,,,,,,2022-03-26,2022-03-26,,,,False,,,,2000-01-01,2100-01-01
38,spain,,,,,,2022-04-06,2022-03-25,2022-03-29,2022-03-29,,,False,,,,2000-01-01,2100-01-01
39,brazil,,,,,,,2022-03-26,,,,,False,,,,2000-01-01,2100-01-01
40,unknown,,,,,,,2022-03-26,,,,,False,,,,2000-01-01,2100-01-01
41,usa,,,,,,,2022-03-24,2022-03-24,2022-03-24,,,False,,,,2000-01-01,2100-01-01
42,saudi arabia,,,,,,2022-03-28,2022-03-23,2022-03-23,2022-03-25,,,False,,,,2000-01-01,2100-01-01
43,algeria,,,,,,,2022-03-23,2022-03-23,,,,False,,,,2000-01-01,2100-01-01
44,morocco,,,,,,2022-03-26,2022-03-23,2022-03-23,2022-03-23,,,False,,,,2000-01-01,2100-01-01
45,nigeria,,,,,,2022-03-24,2022-03-23,2022-03-23,,,,False,,,,2000-01-01,2100-01-01
46,france,,,,,,,2022-03-23,2022-03-23,,,,False,,,,2000-01-01,2100-01-01
47,pakistan,,,,,,2022-03-21,2022-03-18,2022-03-18,2022-03-18,2022-03-21,,False,,,,2000-01-01,2100-01-01
48,australia,,,,,,2022-03-22,2022-03-17,2022-03-18,,,,False,,,,2000-01-01,2100-01-01
49,malaysia,,,,,,2022-03-17,2022-03-17,2022-03-17,2022-03-17,2022-03-18,,False,,,,2000-01-01,2100-01-01
50,australia,,,,,,2022-03-18,2022-03-17,2022-03-17,2022-03-18,,,False,,,,2000-01-01,2100-01-01
51,unknown,,,,,,,2022-03-16,2022-03-16,,,,False,,,,2000-01-01,2100-01-01
52,india,,,,,,,2022-03-15,2022-03-15,2022-03-15,,,False,,,,2000-01-01,2100-01-01
53,united arab emirates,,,,,,2022-03-17,2022-03-14,2022-03-14,2022-03-14,,,False,,,,2000-01-01,2100-01-01
54,germany,,,,,,,2022-03-11,2022-03-11,,,,False,,,,2000-01-01,2100-01-01
55,unknown,,,,,,,2022-03-11,2022-03-11,,,,False,,,,2000-01-01,2100-01-01
56,united arab emirates,,,,,,,2022-03-11,2022-03-11,,,,False,,,,2000-01-01,2100-01-01
57,canada,,,,,,,2022-03-10,2022-03-10,,,,False,,,,2000-01-01,2100-01-01
58,uk,,,,,,,2022-03-10,,,,,False,,,,2000-01-01,2100-01-01
59,india,,,,,,,2022-03-10,,,,,False,,,,2000-01-01,2100-01-01
60,saudi arabia,,,,,declined/canceled call,2022-03-14,2022-03-09,2022-03-11,,,,False,,,,2000-01-01,2100-01-01
61,saudi arabia,,,,,,,2022-03-09,,,,,False,,,,2000-01-01,2100-01-01
62,saudi arabia,,,,,,,2022-03-09,2022-03-09,,,,False,,,,2000-01-01,2100-01-01
63,saudi arabia,,,,,,2022-03-17,2022-03-08,2022-03-08,2022-03-08,,,False,,,,2000-01-01,2100-01-01
64,pakistan,,,,,,,2022-03-07,,,,,False,,,,2000-01-01,2100-01-01
65,saudi arabia,,,,,,2022-03-29,2022-03-07,2022-03-08,,,,False,,,,2000-01-01,2100-01-01
66,pakistan,,,,,,2022-03-09,2022-03-06,2022-03-06,2022-03-15,,,False,,,,2000-01-01,2100-01-01
67,canada,,,,,,,2022-03-05,,,,,False,,,,2000-01-01,2100-01-01
68,india,,,,,,,2022-03-04,,,,,False,,,,2000-01-01,2100-01-01
69,canada,,,,,,,2022-03-04,,,,,False,,,,2000-01-01,2100-01-01
