ID,Country,Education,First Contact,Last Contact,Status,Stage,First Call,Signed up for a demo,Filled in customer survey,Did sign up to the platform,Account Manager assigned,Subscribed
1,,,,,,,,,,2022-04-27,,
2,Austria,,,,,,2022-04-28,2022-04-25,2022-04-25,2022-04-25,,
3,United Arab Emirates,,,,,,,2022-04-24,,,,
4,France,,,,,,2022-04-22,2022-04-20,2022-04-20,2022-04-22,2022-04-22,
5,USA,,,,,,2022-04-23,2022-04-19,2022-04-19,,,
6,USA,,,,,,,2022-04-18,,,,
7,,,,,,,,2022-04-18,,,,
8,Canada,,,,,,,2022-04-15,2022-04-16,2022-04-16,,
9,Canada,,,,,,,2022-04-12,,,,
10,Canada,,,,,,2022-04-26,2022-04-12,2022-04-12,2022-04-15,,
11,Canada,,,,,,,2022-04-12,2022-04-12,,,
12,Canada,,,,,,,2022-04-12,2022-04-12,,,
13,Canada,,,,,,2022-04-14,2022-04-11,2022-04-12,2022-04-12,2022-04-14,2022-04-16
14,Switzerland,,,,,,2022-04-11,2022-04-08,2022-04-08,2022-04-08,2022-04-13,2022-04-16
15,Iran,,,,,,,2022-04-08,2022-04-08,,,
16,Germany,,,,,,2022-04-13,2022-04-08,2022-04-08,2022-04-08,,
17,,,,,,,,2022-04-08,2022-04-08,,,
18,Canada,,,,,,,2022-04-08,,,,
19,Italy,,,,,,,2022-04-08,2022-04-08,2022-04-08,,
20,Germany,,,,,,,2022-04-08,2022-04-09,,,
21,,,,,,,2022-04-11,2022-04-07,2022-04-07,,,
22,United Arab Emirates,,,,,,2022-04-21,2022-04-07,2022-04-08,2022-04-08,2022-04-22,2022-04-27
23,Germany,,,,,,,2022-04-06,,,,
24,Germany,,,,,,2022-04-07,2022-04-04,2022-04-04,2022-04-11,,2022-04-18
25,United Arab Emirates,,,,,,2022-04-08,2022-04-04,2022-04-04,2022-04-05,,
26,United Arab Emirates,,,,,,,2022-04-02,,,,
27,United Arab Emirates,,,,,,2022-04-12,2022-04-02,2022-04-02,2022-04-02,,
28,,,,,,,,,,2022-03-31,,
29,USA,,,,,,2022-04-06,2022-03-30,2022-04-03,,,
30,,,,,,,2022-04-04,,,,,
31,Lebanon,,,,,,,2022-03-30,,,,
32,USA,,,,,,,2022-03-28,,,,
33,USA,,,,,,,2022-03-28,2022-03-29,,,
34,USA,,,,,subscribed already,2022-03-30,2022-03-28,2022-03-28,2022-03-28,2022-03-31,2022-04-07
35,UK,,,,,,,2022-03-29,2022-03-31,,,
36,Sweden,,,,,,,2022-03-29,2022-03-29,,,
37,France,,,,,,,2022-03-26,2022-03-26,,,
38,Spain,,,,,,2022-04-06,2022-03-25,2022-03-29,2022-03-29,,
39,Brazil,,,,,,,2022-03-26,,,,
40,,,,,,,,2022-03-26,,,,
41,USA,,,,,,,2022-03-24,2022-03-24,2022-03-24,,
42,Saudi Arabia,,,,,,2022-03-28,2022-03-23,2022-03-23,2022-03-25,,
43,Algeria,,,,,,,2022-03-23,2022-03-23,,,
44,Morocco,,,,,,2022-03-26,2022-03-23,2022-03-23,2022-03-23,,
45,Nigeria,,,,,,2022-03-24,2022-03-23,2022-03-23,,,
46,France,,,,,,,2022-03-23,2022-03-23,,,
47,Pakistan,,,,,,2022-03-21,2022-03-18,2022-03-18,2022-03-18,2022-03-21,
48,Australia,,,,,,2022-03-22,2022-03-17,2022-03-18,,,
49,Malaysia,,,,,,2022-03-17,2022-03-17,2022-03-17,2022-03-17,2022-03-18,
50,Australia,,,,,,2022-03-18,2022-03-17,2022-03-17,2022-03-18,,
51,,,,,,,,2022-03-16,2022-03-16,,,
52,India,,,,,,,2022-03-15,2022-03-15,2022-03-15,,
53,United Arab Emirates,,,,,,2022-03-17,2022-03-14,2022-03-14,2022-03-14,,
54,Germany,,,,,,,2022-03-11,2022-03-11,,,
55,,,,,,,,2022-03-11,2022-03-11,,,
56,United Arab Emirates,,,,,,,2022-03-11,2022-03-11,,,
57,Canada,,,,,,,2022-03-10,2022-03-10,,,
58,UK,,,,,,,2022-03-10,,,,
59,India,,,,,,,2022-03-10,,,,
60,Saudi Arabia,,,,,declined/canceled call,2022-03-14,2022-03-09,2022-03-11,,,
61,Saudi Arabia,,,,,,,2022-03-09,,,,
62,Saudi Arabia,,,,,,,2022-03-09,2022-03-09,,,
63,Saudi Arabia,,,,,,2022-03-17,2022-03-08,2022-03-08,2022-03-08,,
64,Pakistan,,,,,,,2022-03-07,,,,
65,Saudi Arabia,,,,,,2022-03-29,2022-03-07,2022-03-08,,,
66,Pakistan,,,,,,2022-03-09,2022-03-06,2022-03-06,2022-03-15,,
67,Canada,,,,,,,2022-03-05,,,,
